voter_hashed_national_id,phone_number,district
hash_voter_bus_001,+201444444001,Business District 1 - New Administrative Capital
hash_voter_bus_002,+201444444002,Business District 1 - New Administrative Capital
hash_voter_bus_003,+201444444003,Business District 1 - New Administrative Capital
hash_voter_bus_004,+201444444004,Business District 1 - New Administrative Capital
hash_voter_bus_005,+201444444005,Business District 2 - New Cairo
hash_voter_bus_006,+201444444006,Business District 2 - New Cairo
hash_voter_bus_007,+201444444007,Business District 2 - New Cairo
hash_voter_bus_008,+201444444008,Business District 3 - Smart Village
hash_voter_bus_009,+201444444009,Business District 3 - Smart Village
hash_voter_bus_010,+201444444010,Business District 3 - Smart Village
hash_voter_bus_011,+201444444011,Business District 1 - New Administrative Capital
hash_voter_bus_012,+201444444012,Business District 2 - New Cairo
hash_voter_bus_013,+201444444013,Business District 3 - Smart Village
